Keuwl Accelerometer Data File,,,,,,
2025-05-07 18:45:26,,,,,,
,,,,,,
Time (s),X (m/s2),Y (m/s2),Z (m/s2),R (m/s2),Theta (deg),Phi (deg)
0.514405,5.122095,1.688211,9.034221,10.521552,30.835829,18.241905
0.517029,5.007174,1.84144,8.977059,10.442715,30.722912,20.191526
0.519654,4.643554,2.339135,8.804677,10.225286,30.563181,26.736137
0.522278,4.509479,2.530372,8.76637,10.177791,30.534491,29.297781
0.524903,4.260781,2.932298,8.670602,10.096136,30.817442,34.536011
0.527527,4.222474,2.932298,8.593987,10.014204,30.887178,34.778057
0.530152,4.337396,2.760215,8.479364,9.91622,31.229158,32.471706
0.532776,4.452317,2.587833,8.364443,9.822622,31.619467,30.166559
0.535401,4.949713,1.975516,8.364443,9.917974,32.503136,21.757793
0.538025,5.026327,1.918055,8.517672,10.074405,32.276985,20.886938
0.54065,5.102942,1.860594,8.651448,10.215155,32.121456,20.032467
0.543274,4.949713,2.109292,8.670602,10.204318,31.82102,23.081001
0.545899,4.643554,2.511218,8.574833,10.069587,31.618517,28.404371
0.548523,4.471471,2.664447,8.441057,9.916894,31.659805,30.789749
0.551148,4.14586,2.989759,8.345289,9.786249,31.487221,35.797009
0.553772,4.14586,2.989759,8.40275,9.835295,31.312386,35.797009
0.556397,4.126706,2.951452,8.536825,9.930667,30.723513,35.572643
0.559021,4.41401,2.530372,8.555679,9.954191,30.738924,29.823889
0.561646,4.605247,2.281674,8.593987,10.013538,30.880812,26.356159
0.56427,4.815937,2.032677,8.651448,10.108046,31.140999,22.883299
0.5668949,5.217864,1.592443,8.881291,10.423018,31.56089,16.971701
0.569519,5.179556,1.726519,8.900445,10.44158,31.525881,18.43495
0.572144,5.122095,1.860594,8.900445,10.436263,31.478262,19.963482
0.574768,4.758476,2.319981,8.747216,10.224442,31.182749,25.991417
0.577393,4.184167,2.970606,8.536825,9.960379,31.009892,35.37336
0.580017,3.973776,3.142988,8.498518,9.894144,30.801752,38.341614
0.582642,3.858855,3.142988,8.421904,9.782515,30.580639,39.16238
0.585266,4.012084,3.028067,8.326136,9.725766,31.119583,37.043194
0.587891,4.337396,2.798522,8.1346,9.63413,32.397392,32.830433
0.590515,4.777629,2.358289,8.230368,9.804398,32.917202,26.271437
0.5931399,4.873397,2.243367,8.40275,9.969398,32.55724,24.717995
