MOTOR 1,,,,,,,
,,,,,,,
Condition,Time (s),X (m/s2),Y (m/s2),Z (m/s2),R (m/s2),Theta (deg),Phi (deg)
,0.2726898,-0.501296,-2.166103,9.400204,9.659561,13.307141,256.969574
,0.274837,-0.372084,-2.089532,9.084352,9.328989,13.150294,259.903137
,0.2769842,-0.553938,-2.008176,9.203992,9.436794,12.753107,254.578934
,0.2791314,-0.448654,-2.25703,9.457631,9.733563,13.675226,258.757263
,0.2812785,-0.424726,-2.113461,9.524631,9.765536,12.752936,258.637054
,0.2834257,-0.630509,-1.721038,9.754341,9.925054,10.642128,249.879501
,0.2855729,-0.324227,-1.979463,9.562916,9.771016,11.846164,260.697784
,0.28772,-0.53001,-1.912464,9.601201,9.804157,11.678468,254.510101
,0.2898672,-0.53001,-1.835893,9.275777,9.470557,11.640447,253.896927
,0.2920143,-0.386441,-1.606182,9.37149,9.515985,9.997431,256.471985
,0.2941615,-0.396012,-1.965106,9.486345,9.695834,11.931931,258.606232
,0.2963086,-0.429512,-1.697109,9.759128,9.9149,10.169723,255.797562
,0.2984558,-0.534796,-1.405185,9.955338,10.068233,8.588262,249.163803
,0.300603,-0.329013,-1.161117,9.893126,9.966462,6.95494,254.179443
,0.3027501,-0.759721,-0.902692,10.137193,10.205622,6.638676,229.915466
,0.3048973,-0.549153,-1.094118,10.031909,10.106328,6.95745,243.347305
,0.3070445,-0.56351,-0.615554,9.826126,9.861502,4.85454,227.52739
,0.3091917,-0.86022,-0.572483,10.520044,10.570669,5.609723,213.644073
,0.3113388,-0.587438,-1.304687,11.099108,11.190955,7.345718,245.760239
,0.313486,-0.989432,-1.156332,10.831112,10.937508,7.998216,229.447556
,0.3156331,-0.467797,-0.428913,11.012966,11.031239,3.298238,222.517075
,0.3177803,-0.759721,-0.232702,11.003395,11.032045,4.130194,197.029785
,0.3199275,-0.778864,-1.141975,9.797412,9.894444,8.03072,235.704742
,0.3220746,0.077767,-1.261616,9.491131,9.57493,7.585894,273.527283
,0.3242218,-0.463011,-0.964906,9.74477,9.803365,6.267508,244.365921
,0.326369,-0.678365,-1.711466,9.88834,10.058258,10.546522,248.378357
,0.3285162,-0.372084,-2.592025,9.883554,10.224563,14.839279,261.831024
,0.3306633,-0.831506,-1.634896,9.519845,9.694934,10.905623,243.042175
,0.3328105,-0.405583,-2.089532,9.113065,9.358344,13.146856,259.01535
